"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 10:53:29 GMT 2022","Thu Mar 17 10:53:31 GMT 2022","2079","firefox","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 10:53:40 GMT 2022","Thu Mar 17 10:53:40 GMT 2022","685","webkit","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 10:53:26 GMT 2022","Thu Mar 17 10:53:27 GMT 2022","714","chromium","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 10:53:23 GMT 2022","Thu Mar 17 10:53:23 GMT 2022","29","API tests","api.petStore.spec.js","Pet store API tests","","","Delete Pet by id",""
"passed","Thu Mar 17 10:53:40 GMT 2022","Thu Mar 17 10:53:41 GMT 2022","670","webkit","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 10:53:27 GMT 2022","Thu Mar 17 10:53:27 GMT 2022","320","chromium","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 10:53:31 GMT 2022","Thu Mar 17 10:53:32 GMT 2022","641","firefox","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 10:53:27 GMT 2022","Thu Mar 17 10:53:28 GMT 2022","346","chromium","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 10:53:23 GMT 2022","Thu Mar 17 10:53:23 GMT 2022","50","API tests","api.petStore.spec.js","Pet store API tests","","","Update existing pet",""
"passed","Thu Mar 17 10:53:27 GMT 2022","Thu Mar 17 10:53:27 GMT 2022","292","chromium","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 10:53:39 GMT 2022","Thu Mar 17 10:53:40 GMT 2022","716","webkit","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 10:53:23 GMT 2022","Thu Mar 17 10:53:23 GMT 2022","89","API tests","api.petStore.spec.js","Pet store API tests","","","Find Pet by id",""
"passed","Thu Mar 17 10:53:32 GMT 2022","Thu Mar 17 10:53:32 GMT 2022","645","firefox","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 10:53:35 GMT 2022","Thu Mar 17 10:53:39 GMT 2022","4036","webkit","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 10:53:32 GMT 2022","Thu Mar 17 10:53:33 GMT 2022","684","firefox","ui.playground.spec.js","Login UI tests","","","Logout",""
